x y z alpha beta gamma
-0.078742 0.875432 0.602363 1.541974 -0.005616 -0.027853
-0.131426 0.879564 0.609703 1.552864 0.005335 0.040413
-0.088496 0.883695 0.646694 1.601356 -0.001323 -0.015563
-0.110281 0.877427 0.596824 1.535585 0.000128 0.013206
-0.071894 0.880856 0.635303 1.586027 -0.004382 -0.036933
-0.112324 0.879476 0.612420 1.556116 0.003681 0.015500
-0.094537 0.882837 0.629313 1.578245 -0.003411 -0.007147
-0.095218 0.874925 0.606207 1.547080 -0.001841 -0.006437
-0.095598 0.883679 0.643724 1.597224 -0.000190 -0.005970
-0.083906 0.876278 0.613511 1.556667 -0.004760 -0.020806
-0.082121 0.883954 0.646913 1.601491 -0.003737 -0.023062
-0.111825 0.880542 0.620693 1.566845 0.000182 0.015466
-0.094597 0.882262 0.634420 1.585053 0.000817 -0.007242
-0.099234 0.875824 0.604063 1.544836 -0.001168 -0.001105
-0.100924 0.883799 0.630953 1.580776 -0.001312 0.001229
-0.092333 0.880212 0.618164 1.563463 -0.004612 -0.009256
-0.110326 0.886357 0.637249 1.589114 -0.001496 0.013359
-0.116614 0.879120 0.609915 1.553042 0.002759 0.021129
-0.108541 0.879431 0.605482 1.547647 0.001835 0.011145
-0.093420 0.885531 0.648594 1.603456 -0.001320 -0.008273
-0.094709 0.878116 0.626351 1.573724 -0.000254 -0.007419
-0.100035 0.879895 0.619924 1.565706 0.000332 -0.000098
-0.110391 0.878403 0.610603 1.553844 0.001146 0.013424
-0.109754 0.889303 0.644785 1.598961 0.001180 0.012899
-0.095314 0.882256 0.627702 1.576253 -0.001128 -0.005856
-0.118016 0.887007 0.626984 1.576316 0.002953 0.023544
-0.096307 0.881182 0.628071 1.576451 -0.002225 -0.004319
-0.101516 0.883365 0.621616 1.568754 -0.002167 0.002836
-0.085061 0.873033 0.612534 1.555182 -0.001059 -0.019679
-0.083472 0.876129 0.621872 1.567407 -0.003748 -0.020998
-0.103537 0.881759 0.621611 1.568370 -0.000342 0.005248
-0.114475 0.887879 0.634031 1.584991 0.001706 0.019115
-0.102434 0.886242 0.641298 1.593640 -0.000483 0.003738
-0.100918 0.883364 0.625448 1.574136 0.004648 0.001167
-0.092616 0.878386 0.623238 1.570013 0.000608 -0.009864
-0.102512 0.882355 0.625073 1.573023 0.002493 0.003213
-0.090670 0.881880 0.640036 1.591790 0.000040 -0.011415
-0.086353 0.882299 0.634993 1.585392 -0.001466 -0.016609
-0.087643 0.881669 0.634093 1.584318 0.001423 -0.015330
-0.101909 0.884954 0.642204 1.594732 -0.001206 0.003237
-0.106031 0.887911 0.636178 1.587290 -0.001274 0.009409
-0.106088 0.887582 0.634631 1.585575 0.000206 0.009209
-0.096355 0.880702 0.616048 1.560983 0.000325 -0.003986
-0.087851 0.877684 0.614483 1.558095 -0.003426 -0.014666
-0.104700 0.885662 0.630525 1.579662 -0.001214 0.006941
-0.087212 0.877203 0.623572 1.569613 -0.002718 -0.016225
-0.108710 0.881882 0.617956 1.563032 0.000474 0.011886
-0.086439 0.882281 0.641205 1.593181 -0.000168 -0.016490
-0.096933 0.883894 0.626419 1.574269 -0.000090 -0.002835
-0.096713 0.882263 0.624834 1.571332 -0.002679 -0.003297
-0.096857 0.881324 0.621865 1.568404 0.002961 -0.003514
-0.090254 0.880637 0.628052 1.575846 0.001742 -0.012010
-0.122001 0.889652 0.634768 1.585118 0.001944 0.029323
-0.079812 0.876900 0.639656 1.590461 -0.002191 -0.025942
-0.107291 0.882167 0.631449 1.580309 0.000351 0.009992
-0.102801 0.882880 0.607254 1.549127 0.000705 0.004570
-0.096564 0.881271 0.622463 1.568880 0.001569 -0.004075
-0.111486 0.882988 0.609422 1.552012 0.001412 0.015519
-0.099117 0.882106 0.625848 1.573426 0.002032 -0.000828
-0.114083 0.885515 0.616152 1.560265 -0.001303 0.019359
-0.099151 0.880657 0.625627 1.572167 -0.002626 -0.000544
-0.099238 0.880657 0.625406 1.572082 -0.002293 -0.000527
-0.099288 0.880656 0.625300 1.572028 -0.002167 -0.000514
-0.093550 0.877074 0.617122 1.561380 0.000328 -0.008522
-0.093571 0.877074 0.617076 1.561339 0.000342 -0.008509
-0.093588 0.877075 0.617036 1.561298 0.000346 -0.008496
-0.093602 0.877076 0.616998 1.561258 0.000345 -0.008482
-0.093615 0.877077 0.616961 1.561217 0.000341 -0.008469
-0.093627 0.877078 0.616925 1.561177 0.000336 -0.008456
-0.093639 0.877080 0.616890 1.561136 0.000332 -0.008443
-0.093651 0.877081 0.616855 1.561096 0.000326 -0.008430
-0.093663 0.877082 0.616820 1.561057 0.000321 -0.008417
-0.093674 0.877084 0.616785 1.561017 0.000317 -0.008405
-0.093685 0.877085 0.616750 1.560978 0.000312 -0.008392
-0.093696 0.877086 0.616716 1.560938 0.000307 -0.008380
-0.093707 0.877088 0.616682 1.560899 0.000301 -0.008367
